epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33296,1.46718,3.50676,1.3991,0.67081,0.23583,0.23636,0.14895,1.32776,1.8771,1.39449,5e-05,5e-05,5e-05
2,7.13424,1.1097,1.64266,1.15979,0.58578,0.58005,0.5378,0.42019,1.12107,1.82158,1.16661,0.000104497,0.000104497,0.000104497
3,12.6337,1.03566,1.03717,1.05345,0.57248,0.77569,0.7528,0.54019,1.09393,1.49581,1.09998,0.000157137,0.000157137,0.000157137
4,17.6361,0.96313,0.79556,1.01923,0.68634,0.82748,0.86234,0.64038,0.95871,1.02946,1.03021,0.000207922,0.000207922,0.000207922
5,23.5203,0.92671,0.71545,0.9828,0.824,0.77591,0.86614,0.65623,0.99083,1.00273,1.04664,0.00025685,0.00025685,0.00025685
6,29.1528,0.91145,0.67983,0.986,0.77015,0.83307,0.86953,0.67286,0.96947,0.88965,1.03859,0.000303922,0.000303922,0.000303922
7,35.1657,0.89711,0.69587,0.97513,0.6942,0.84905,0.78824,0.58826,0.94449,1.06384,1.03535,0.000349138,0.000349138,0.000349138
8,38.5177,0.87013,0.6072,0.96125,0.86906,0.84568,0.89036,0.63765,1.03846,0.85926,1.06725,0.000392497,0.000392497,0.000392497
9,41.7334,0.90554,0.67567,0.98165,0.79823,0.85313,0.88952,0.63012,1.09051,0.82944,1.08954,0.000434,0.000434,0.000434
10,45.2511,0.87801,0.62306,0.9811,0.79926,0.87848,0.88424,0.63699,1.10494,0.82143,1.11321,0.000473647,0.000473647,0.000473647
11,48.7754,0.88291,0.63465,0.95934,0.7343,0.81256,0.84789,0.62916,1.0256,0.86041,1.06719,0.000511438,0.000511438,0.000511438
12,52.1712,0.88786,0.58763,0.97084,0.71194,0.79614,0.82298,0.59751,1.13509,0.84635,1.14474,0.000511562,0.000511562,0.000511562
13,55.2175,0.90729,0.58529,0.981,0.73027,0.81991,0.8623,0.62486,1.07384,0.86135,1.11245,0.00050125,0.00050125,0.00050125
14,58.6838,0.88961,0.55733,0.97611,0.84492,0.79516,0.86371,0.63551,0.98609,0.82665,1.058,0.000490937,0.000490937,0.000490937
15,61.8788,0.88308,0.55316,0.95875,0.76531,0.83913,0.85729,0.62251,1.07356,0.8271,1.09515,0.000480625,0.000480625,0.000480625
16,65.2975,0.84803,0.55915,0.98168,0.77409,0.8103,0.84871,0.61446,1.14822,0.79687,1.14872,0.000470312,0.000470312,0.000470312
17,68.4091,0.8298,0.53701,0.95245,0.78739,0.82794,0.8714,0.63229,1.06387,0.7654,1.12412,0.00046,0.00046,0.00046
18,71.7912,0.83179,0.53032,0.97167,0.83897,0.80694,0.87443,0.63972,1.0285,0.77848,1.09847,0.000449688,0.000449688,0.000449688
19,74.8275,0.80954,0.48669,0.93778,0.77808,0.84593,0.88224,0.63713,1.09438,0.7923,1.11595,0.000439375,0.000439375,0.000439375
20,78.0212,0.81668,0.48544,0.94793,0.83323,0.83791,0.89075,0.66223,1.00958,0.74649,1.08965,0.000429063,0.000429063,0.000429063
21,81.1934,0.80677,0.47799,0.94773,0.80302,0.90359,0.89249,0.68498,0.94549,0.67863,1.05507,0.00041875,0.00041875,0.00041875
22,86.647,0.81306,0.47122,0.94221,0.79431,0.88978,0.89308,0.67165,1.00631,0.68644,1.09081,0.000408438,0.000408438,0.000408438
23,89.8426,0.78765,0.45182,0.93234,0.77201,0.87705,0.87516,0.65145,1.10476,0.69785,1.15055,0.000398125,0.000398125,0.000398125
24,93.1793,0.79123,0.44848,0.93236,0.80506,0.88672,0.89204,0.67159,1.06997,0.67686,1.13756,0.000387813,0.000387813,0.000387813
25,96.3251,0.79892,0.44534,0.92908,0.82922,0.89349,0.89561,0.68118,0.97695,0.66407,1.07734,0.0003775,0.0003775,0.0003775
26,99.6258,0.7966,0.44637,0.93534,0.84054,0.88832,0.89265,0.6747,0.97793,0.66843,1.0801,0.000367187,0.000367187,0.000367187
27,102.803,0.7546,0.43248,0.93785,0.83743,0.86328,0.87791,0.65274,1.09889,0.68251,1.16754,0.000356875,0.000356875,0.000356875
28,106.278,0.7614,0.41733,0.92986,0.8343,0.87512,0.88678,0.65076,1.06077,0.66713,1.1555,0.000346563,0.000346563,0.000346563
29,109.576,0.75449,0.41842,0.91822,0.8474,0.8733,0.89543,0.66178,1.00182,0.65779,1.12388,0.00033625,0.00033625,0.00033625
30,113.16,0.7408,0.41148,0.91002,0.85245,0.87764,0.89535,0.67653,1.00889,0.66442,1.12374,0.000325938,0.000325938,0.000325938
31,116.404,0.74193,0.39967,0.91718,0.84054,0.88024,0.89277,0.66374,1.05001,0.68162,1.14366,0.000315625,0.000315625,0.000315625
32,119.69,0.72678,0.40243,0.91266,0.85073,0.86861,0.89188,0.64999,1.07674,0.69322,1.15762,0.000305312,0.000305312,0.000305312
33,122.973,0.74123,0.40989,0.93089,0.85483,0.87175,0.89132,0.65622,1.06368,0.6806,1.14848,0.000295,0.000295,0.000295
34,126.186,0.70197,0.38015,0.90163,0.84211,0.8776,0.8897,0.65378,1.05618,0.66333,1.15439,0.000284688,0.000284688,0.000284688
35,129.328,0.69321,0.37086,0.9176,0.84425,0.86905,0.88631,0.63829,1.0783,0.66754,1.18322,0.000274375,0.000274375,0.000274375
36,132.497,0.69204,0.36945,0.88906,0.84099,0.85132,0.88371,0.63371,1.10112,0.68182,1.20736,0.000264062,0.000264062,0.000264062
37,135.687,0.68583,0.36935,0.90254,0.83267,0.85204,0.88149,0.63648,1.08902,0.67474,1.20235,0.00025375,0.00025375,0.00025375
38,138.854,0.68276,0.37097,0.89562,0.83177,0.83178,0.88101,0.64045,1.06843,0.6706,1.18704,0.000243437,0.000243437,0.000243437
39,142.125,0.69409,0.37467,0.90448,0.83776,0.82354,0.87554,0.65214,1.04426,0.66459,1.16427,0.000233125,0.000233125,0.000233125
40,145.405,0.67388,0.35945,0.88652,0.83437,0.82116,0.87423,0.62481,1.08224,0.67149,1.189,0.000222813,0.000222813,0.000222813
41,148.876,0.69183,0.36523,0.90273,0.8369,0.82293,0.87492,0.61767,1.11998,0.68046,1.21838,0.0002125,0.0002125,0.0002125
42,152.297,0.67906,0.36132,0.90444,0.79394,0.87829,0.87505,0.63344,1.1,0.67829,1.20029,0.000202188,0.000202188,0.000202188
43,155.789,0.69214,0.37417,0.92059,0.83182,0.87093,0.87097,0.63831,1.05447,0.6558,1.17094,0.000191875,0.000191875,0.000191875
44,159.009,0.64042,0.34184,0.87868,0.82764,0.87255,0.87279,0.63085,1.08043,0.65183,1.18874,0.000181563,0.000181563,0.000181563
45,162.221,0.67459,0.3548,0.90837,0.84022,0.86904,0.87703,0.63764,1.07554,0.64872,1.17745,0.00017125,0.00017125,0.00017125
46,165.521,0.65787,0.34943,0.8939,0.8356,0.86288,0.87613,0.64713,1.04384,0.64755,1.15174,0.000160938,0.000160938,0.000160938
47,168.624,0.62803,0.33738,0.89237,0.81893,0.87276,0.87445,0.64757,1.0415,0.64718,1.153,0.000150625,0.000150625,0.000150625
48,171.83,0.64922,0.34375,0.90118,0.80699,0.8734,0.87037,0.65064,1.05416,0.65074,1.17212,0.000140313,0.000140313,0.000140313
49,175.224,0.61128,0.33583,0.88415,0.7937,0.88373,0.86746,0.63699,1.07508,0.65786,1.19516,0.00013,0.00013,0.00013
50,178.809,0.64443,0.34492,0.88996,0.80786,0.87894,0.86587,0.64462,1.07077,0.6532,1.19496,0.000119688,0.000119688,0.000119688
51,183.127,0.65795,0.38696,0.90592,0.81876,0.8711,0.87572,0.66105,1.00901,0.64516,1.15422,0.000109375,0.000109375,0.000109375
52,186.366,0.62327,0.33141,0.88386,0.8081,0.87056,0.87534,0.65315,1.00098,0.64418,1.14602,9.90625e-05,9.90625e-05,9.90625e-05
53,189.758,0.6063,0.32151,0.87414,0.78797,0.88167,0.87204,0.65948,1.01149,0.64373,1.15235,8.875e-05,8.875e-05,8.875e-05
54,192.895,0.58376,0.31978,0.87272,0.77804,0.88371,0.87362,0.64249,1.03438,0.64793,1.16756,7.84375e-05,7.84375e-05,7.84375e-05
55,196.328,0.59253,0.31904,0.87497,0.77303,0.88576,0.87046,0.63867,1.04445,0.65344,1.17432,6.8125e-05,6.8125e-05,6.8125e-05
56,199.451,0.59175,0.32321,0.87389,0.78297,0.88647,0.8724,0.63898,1.04594,0.65483,1.17814,5.78125e-05,5.78125e-05,5.78125e-05
57,203.038,0.58367,0.31281,0.8654,0.7874,0.88587,0.87064,0.64149,1.03792,0.64306,1.1761,4.75e-05,4.75e-05,4.75e-05
58,206.351,0.56505,0.30745,0.86736,0.7949,0.88577,0.87041,0.64128,1.03425,0.64927,1.17608,3.71875e-05,3.71875e-05,3.71875e-05
59,209.827,0.56787,0.30165,0.87084,0.80762,0.88402,0.86585,0.63667,1.02878,0.65491,1.17657,2.6875e-05,2.6875e-05,2.6875e-05
60,213.084,0.55685,0.29565,0.85819,0.80728,0.88412,0.86534,0.63776,1.02729,0.65065,1.17577,1.65625e-05,1.65625e-05,1.65625e-05
